id;firstname;lastname;email;phone;address;accountnum
1;Assistant;Market;Michelle63@hotmail.com;529-212-83;../fake-data/blob/hipster.txt;Cotton
2;blue generate scale;multi-byte;Juanita24@yahoo.com;(576) 891-;../fake-data/blob/hipster.txt;fuchsia partnerships Uzbekistan
3;Handcrafted;Steel;Madelynn81@hotmail.com;1-438-686-;../fake-data/blob/hipster.txt;Compatible Small
4;Chicken Account Dollar;Investment Electronics Cheese;Roderick.Oberbrunner16@yahoo.com;945-955-74;../fake-data/blob/hipster.txt;white
5;Refined Island architectures;fuchsia override;Mack.Bartoletti36@yahoo.com;865-506-99;../fake-data/blob/hipster.txt;Table
6;Sausages;Via;River_Farrell43@hotmail.com;468.261.85;../fake-data/blob/hipster.txt;compressing
7;intuitive black Small;upward-trending Concrete wireless;Aisha.Mueller52@hotmail.com;(895) 566-;../fake-data/blob/hipster.txt;deposit haptic Dynamic
8;Chief system-worthy;Global scale Jewelery;Nicolas.Bins@yahoo.com;1-935-884-;../fake-data/blob/hipster.txt;full-range
9;SAS;Mouse;Pierre_Marvin46@hotmail.com;771-385-03;../fake-data/blob/hipster.txt;needs-based
10;program Jordan;deposit;Janet84@yahoo.com;697-576-24;../fake-data/blob/hipster.txt;Rhode e-tailers
